Word,Start Timecode,End Timecode,Speaker
"unknowns,",00:05:27:40,00:05:28:11,Speaker1
and,00:05:28:11,00:05:28:24,Speaker1
we,00:05:28:24,00:05:28:33,Speaker1
can't,00:05:28:33,00:05:28:49,Speaker1
risk,00:05:28:49,00:05:29:07,Speaker1
both,00:05:29:07,00:05:29:19,Speaker1
of,00:05:29:19,00:05:29:23,Speaker1
us,00:05:29:23,00:05:29:30,Speaker1
being,00:05:29:30,00:05:29:41,Speaker1
off,00:05:29:41,00:05:29:52,Speaker1
the,00:05:29:52,00:05:29:57,Speaker1
ship.,00:05:29:57,00:05:30:24,Speaker1
I'm,00:05:34:37,00:05:34:50,""
not,00:05:34:50,00:05:35:01,""
going,00:05:35:01,00:05:35:15,""
to.,00:05:35:15,00:05:35:30,""
On,00:05:39:07,00:05:39:20,Speaker1
the,00:05:39:20,00:05:39:25,Speaker1
other,00:05:39:25,00:05:39:36,Speaker1
"hand,",00:05:39:36,00:05:40:12,Speaker1
perhaps,00:05:41:03,00:05:41:30,Speaker1
the,00:05:41:30,00:05:41:40,Speaker1
Sargon.,00:05:41:40,00:05:42:36,Speaker1
Would,00:05:42:36,00:05:42:52,""
like,00:05:42:52,00:05:43:03,""
you,00:05:43:03,00:05:43:09,""
to,00:05:43:09,00:05:43:14,""
come,00:05:43:14,00:05:43:25,""
with,00:05:43:25,00:05:43:34,""
us.,00:05:43:34,00:05:44:01,""
Fascinating.,00:05:46:39,00:05:47:30,""
All,00:05:47:55,00:05:48:13,""
"normal,",00:05:48:13,00:05:48:33,""
sir.,00:05:48:33,00:05:48:45,""
No,00:05:48:47,00:05:49:09,Speaker4
damage,00:05:49:09,00:05:49:25,Speaker4
at,00:05:49:25,00:05:49:30,Speaker4
all.,00:05:49:30,00:05:49:55,Speaker4
Let's,00:05:50:33,00:05:50:44,""
see.,00:05:50:44,00:05:51:06,""
Will,00:05:54:15,00:05:54:38,""
you,00:05:54:38,00:05:55:03,""
transport,00:05:55:03,00:05:55:48,""
down,00:05:55:48,00:05:56:04,""
with,00:05:56:04,00:05:56:12,""
"us,",00:05:56:12,00:05:56:17,""
Mr.,00:05:56:17,00:05:56:28,""
Spock?,00:05:56:28,00:05:56:39,""
Evidently,00:05:57:22,00:05:57:51,""
kept.,00:05:57:51,00:05:58:03,""
So,00:05:58:49,00:05:59:11,Speaker1
you,00:05:59:11,00:05:59:22,Speaker1
have,00:05:59:22,00:05:59:33,Speaker1
the,00:05:59:33,00:05:59:38,Speaker1
con.,00:05:59:38,00:06:00:09,Speaker1
Jim.,00:06:08:18,00:06:08:47,Speaker3
Why,00:06:08:47,00:06:08:56,Speaker3
no,00:06:08:56,00:06:09:07,Speaker3
briefing,00:06:09:07,00:06:09:27,Speaker3
on,00:06:09:27,00:06:09:36,Speaker3
this?,00:06:09:36,00:06:09:48,Speaker3
I'd,00:06:09:48,00:06:09:59,Speaker3
at,00:06:09:59,00:06:10:04,Speaker3
least,00:06:10:04,00:06:10:21,Speaker3
like,00:06:10:21,00:06:10:31,Speaker3
to,00:06:10:31,00:06:10:37,Speaker3
know,00:06:10:37,00:06:10:46,Speaker3
what.,00:06:10:46,00:06:10:53,Speaker3
We're,00:06:10:53,00:06:11:04,Speaker1
getting,00:06:11:04,00:06:11:20,Speaker1
"in,",00:06:11:20,00:06:11:27,Speaker1
bones.,00:06:11:40,00:06:11:54,Speaker1
As,00:06:11:54,00:06:12:01,Speaker1
long,00:06:12:01,00:06:12:10,Speaker1
as,00:06:12:10,00:06:12:16,Speaker1
you,00:06:12:16,00:06:12:23,Speaker1
know,00:06:12:23,00:06:12:30,Speaker1
that,00:06:12:30,00:06:12:37,Speaker1
there's,00:06:12:37,00:06:12:48,Speaker1
something,00:06:12:48,00:06:13:12,Speaker1
down,00:06:13:12,00:06:13:24,Speaker1
"there,",00:06:13:24,00:06:13:33,Speaker1
you,00:06:13:33,00:06:13:40,Speaker1
know,00:06:13:40,00:06:13:48,Speaker1
as,00:06:13:48,00:06:13:53,Speaker1
much,00:06:13:53,00:06:14:02,Speaker1
as,00:06:14:02,00:06:14:11,Speaker1
we,00:06:14:11,00:06:14:18,Speaker1
"do,",00:06:14:18,00:06:14:27,Speaker1
the,00:06:14:27,00:06:14:33,Speaker1
rest,00:06:14:33,00:06:14:45,Speaker1
is,00:06:14:45,00:06:14:52,Speaker1
only,00:06:14:52,00:06:15:05,Speaker1
guesses.,00:06:15:05,00:06:15:39,Speaker1
I,00:06:15:39,00:06:15:52,Speaker1
don't,00:06:15:52,00:06:16:03,Speaker1
like,00:06:16:03,00:06:16:15,Speaker1
"it,",00:06:16:15,00:06:16:22,Speaker1
sir.,00:06:16:22,00:06:16:40,Speaker1
The,00:06:17:09,00:06:17:24,Speaker1
transporter,00:06:17:24,00:06:18:03,Speaker1
coordinates,00:06:18:03,00:06:18:41,Speaker1
preset,00:06:18:41,00:06:19:10,Speaker1
by,00:06:19:10,00:06:19:42,Speaker1
an,00:06:20:13,00:06:20:54,Speaker1
alien,00:06:20:54,00:06:21:19,Speaker1
of,00:06:21:19,00:06:21:28,Speaker1
some,00:06:21:28,00:06:21:43,Speaker1
sort.,00:06:21:43,00:06:22:26,Speaker1
You,00:06:22:26,00:06:22:55,Speaker1
could,00:06:22:55,00:06:23:07,Speaker1
materialize,00:06:23:07,00:06:23:56,Speaker1
inside,00:06:23:56,00:06:24:39,Speaker1
solid,00:06:24:39,00:06:24:59,Speaker1
rock.,00:06:24:59,00:06:25:40,Speaker1
Inside,00:06:26:52,00:06:27:39,Speaker3
solid,00:06:27:39,00:06:28:04,Speaker3
rock?,00:06:28:04,00:06:28:51,Speaker3
Unlikely.,00:06:29:00,00:06:29:52,Speaker3
These,00:06:29:52,00:06:30:14,Speaker3
coordinates,00:06:30:14,00:06:30:43,Speaker3
correspond,00:06:30:43,00:06:31:17,Speaker3
with,00:06:31:17,00:06:31:24,Speaker3
the,00:06:31:24,00:06:31:30,Speaker3
location,00:06:31:30,00:06:31:57,Speaker3
of,00:06:31:57,00:06:32:02,Speaker3
the,00:06:32:02,00:06:32:07,Speaker3
subterranean,00:06:32:07,00:06:32:42,Speaker3
chamber.,00:06:32:42,00:06:33:18,Speaker3
And,00:06:34:04,00:06:34:13,Speaker1
I,00:06:34:13,00:06:34:19,Speaker1
have,00:06:34:19,00:06:34:28,Speaker1
a,00:06:34:28,00:06:34:35,Speaker1
feeling,00:06:34:35,00:06:35:00,Speaker1
that,00:06:35:00,00:06:35:29,Speaker1
they.,00:06:35:29,00:06:36:27,Speaker1
Or,00:06:36:27,00:06:37:01,Speaker1
it,00:06:37:01,00:06:37:22,Speaker1
could,00:06:37:22,00:06:37:46,Speaker1
destroy,00:06:37:46,00:06:38:20,Speaker1
us,00:06:38:20,00:06:38:33,Speaker1
just,00:06:38:33,00:06:39:03,Speaker1
standing,00:06:39:03,00:06:39:36,Speaker1
here,00:06:39:36,00:06:39:52,Speaker1
if,00:06:39:52,00:06:40:01,Speaker1
they,00:06:40:01,00:06:40:33,Speaker1
or,00:06:40:33,00:06:40:57,Speaker1
it,00:06:40:57,00:06:41:15,Speaker1
wanted,00:06:41:15,00:06:41:40,Speaker1
to.,00:06:41:40,00:06:42:09,Speaker1
They,00:06:42:12,00:06:42:52,Speaker5
are,00:06:42:52,00:06:43:08,Speaker5
it.,00:06:43:08,00:06:43:44,Speaker5
Who,00:06:54:24,00:06:54:31,""
are,00:06:54:31,00:06:54:37,""
you?,00:06:54:37,00:06:54:58,""
Doctor,00:06:56:01,00:06:56:28,Speaker5
Anne,00:06:56:28,00:06:56:39,Speaker5
Mulhall.,00:06:56:39,00:06:57:08,Speaker5
Astrobiology.,00:06:57:08,00:06:58:02,Speaker5
"Well,",00:07:00:01,00:07:00:12,Speaker5
I,00:07:00:12,00:07:00:31,Speaker5
was,00:07:00:31,00:07:00:46,Speaker5
ordered,00:07:00:46,00:07:01:06,Speaker5
to,00:07:01:06,00:07:01:15,Speaker5
report,00:07:01:15,00:07:01:42,Speaker5
here,00:07:01:42,00:07:02:00,Speaker5
for,00:07:02:00,00:07:02:12,Speaker5
landing,00:07:02:12,00:07:02:36,Speaker5
party,00:07:02:36,00:07:02:54,Speaker5
duty.,00:07:02:54,00:07:03:17,Speaker5
By,00:07:03:58,00:07:04:13,Speaker3
whom?,00:07:04:13,00:07:04:42,Speaker3
Strange.,00:07:07:14,00:07:07:54,""
I'm,00:07:07:54,00:07:08:12,""
not,00:07:08:12,00:07:08:33,""
sure.,00:07:08:33,00:07:09:04,""
"Well,",00:07:11:50,00:07:11:59,Speaker5
I'm,00:07:11:59,00:07:12:06,Speaker5
not,00:07:12:06,00:07:12:17,Speaker5
a,00:07:12:17,00:07:12:22,Speaker5
"liar,",00:07:12:22,00:07:12:42,Speaker5
captain.,00:07:12:42,00:07:13:04,Speaker5
I,00:07:14:03,00:07:14:24,Speaker5
did,00:07:14:24,00:07:14:39,Speaker5
receive,00:07:14:39,00:07:15:00,Speaker5
an,00:07:15:00,00:07:15:07,Speaker5
order,00:07:15:07,00:07:15:22,Speaker5
to,00:07:15:22,00:07:15:31,Speaker5
report,00:07:15:31,00:07:15:56,Speaker5
here,00:07:15:56,00:07:16:09,Speaker5
for,00:07:16:09,00:07:16:19,Speaker5
duty.,00:07:16:19,00:07:16:52,Speaker5
I'm,00:07:16:54,00:07:17:15,Speaker3
sure,00:07:17:15,00:07:17:31,Speaker3
she,00:07:17:31,00:07:17:42,Speaker3
"did,",00:07:17:42,00:07:17:57,Speaker3
captain.,00:07:17:57,00:07:18:29,Speaker3
Just,00:07:18:29,00:07:18:54,Speaker3
as,00:07:18:54,00:07:19:03,Speaker3
you,00:07:19:03,00:07:19:14,Speaker3
received,00:07:19:14,00:07:19:45,Speaker3
an,00:07:19:45,00:07:19:55,Speaker3
order,00:07:19:55,00:07:20:13,Speaker3
to,00:07:20:13,00:07:20:21,Speaker3
bring,00:07:20:21,00:07:20:35,Speaker3
me,00:07:20:35,00:07:20:44,Speaker3
along.,00:07:20:44,00:07:21:20,Speaker3
"Oh,",00:07:23:46,00:07:23:58,Speaker3
yeah.,00:07:23:58,00:07:24:15,Speaker3
"Well,",00:07:27:49,00:07:27:57,Speaker3
let's,00:07:27:57,00:07:28:07,Speaker3
get,00:07:28:07,00:07:28:18,Speaker3
back,00:07:28:18,00:07:28:29,Speaker3
to,00:07:28:29,00:07:28:34,Speaker3
the,00:07:28:34,00:07:28:47,Speaker3
solid,00:07:28:47,00:07:29:12,Speaker3
Rock,00:07:29:12,00:07:29:30,Speaker3
business.,00:07:29:30,00:07:29:54,Speaker3
"Now,",00:07:29:55,00:07:30:04,Speaker3
just,00:07:30:04,00:07:30:15,Speaker3
how,00:07:30:15,00:07:30:22,Speaker3
much,00:07:30:22,00:07:30:37,Speaker3
rock,00:07:30:37,00:07:31:02,Speaker3
are,00:07:31:02,00:07:31:09,Speaker3
we,00:07:31:09,00:07:31:13,Speaker3
going,00:07:31:15,00:07:31:27,Speaker3
to,00:07:31:27,00:07:31:33,Speaker3
go,00:07:31:33,00:07:31:42,Speaker3
through?,00:07:31:42,00:07:32:05,Speaker3
Approximately,00:07:32:07,00:07:32:43,Speaker3
112.37,00:07:32:43,00:07:34:42,Speaker3
"miles,",00:07:34:42,00:07:35:09,Speaker3
doctor.,00:07:35:09,00:07:35:41,Speaker3
Miles.,00:07:36:13,00:07:37:11,Speaker3
Are,00:07:39:30,00:07:39:53,Speaker3
you,00:07:39:53,00:07:40:06,Speaker3
joking?,00:07:40:06,00:07:40:54,Speaker3
No,00:07:42:58,00:07:43:25,Speaker1
we're,00:07:43:25,00:07:43:33,Speaker1
not.,00:07:43:33,00:07:44:03,Speaker1
Let's,00:07:44:07,00:07:44:34,Speaker1
go.,00:07:44:34,00:07:45:04,Speaker1
Please,00:07:48:11,00:07:48:40,Speaker3
stand,00:07:48:40,00:07:49:00,Speaker3
ready.,00:07:49:00,00:07:49:34,Speaker3
I,00:07:49:34,00:07:49:52,Speaker3
will,00:07:49:52,00:07:50:03,Speaker3
operate,00:07:50:03,00:07:50:28,Speaker3
your,00:07:50:28,00:07:50:40,Speaker3
controls.,00:07:50:40,00:07:51:43,Speaker3
"Doctor,",00:07:53:42,00:07:54:11,Speaker1
if,00:07:55:37,00:07:55:48,Speaker1
you,00:07:55:48,00:07:55:59,Speaker1
prefer,00:07:55:59,00:07:56:13,Speaker1
to,00:07:56:13,00:07:56:19,Speaker1
stay,00:07:56:19,00:07:56:30,Speaker1
behind.,00:07:56:30,00:07:57:13,Speaker1
"No,",00:07:57:52,00:07:58:48,Speaker3
no.,00:07:59:53,00:08:00:06,Speaker3
If,00:08:00:06,00:08:00:13,Speaker3
I'd,00:08:00:13,00:08:00:22,Speaker3
be,00:08:00:22,00:08:00:29,Speaker3
useful.,00:08:00:29,00:08:00:56,Speaker3
As,00:08:00:56,00:08:01:10,Speaker3
long,00:08:01:10,00:08:01:27,Speaker3
as,00:08:01:27,00:08:01:43,Speaker3
you're,00:08:01:43,00:08:01:59,Speaker3
going,00:08:01:59,00:08:02:12,Speaker3
"down,",00:08:02:12,00:08:02:24,Speaker3
I,00:08:02:24,00:08:02:30,Speaker3
might,00:08:02:30,00:08:02:39,Speaker3
as,00:08:02:39,00:08:02:46,Speaker3
well,00:08:02:46,00:08:02:58,Speaker3
take,00:08:02:58,00:08:03:11,Speaker3
a,00:08:03:11,00:08:03:18,Speaker3
medical,00:08:03:18,00:08:03:42,Speaker3
look,00:08:03:42,00:08:03:56,Speaker3
at,00:08:03:56,00:08:04:01,Speaker3
whatever,00:08:04:01,00:08:04:21,Speaker3
this,00:08:04:21,00:08:04:36,Speaker3
is.,00:08:04:36,00:08:05:03,Speaker3
Captain.,00:08:22:37,00:08:23:03,Speaker3
The,00:08:23:15,00:08:23:21,Speaker3
security,00:08:23:21,00:08:23:44,Speaker3
guards.,00:08:23:44,00:08:24:18,Speaker3
Okay.,00:08:26:52,00:08:27:18,Speaker1
Can,00:08:27:30,00:08:27:50,Speaker1
you,00:08:27:50,00:08:27:55,Speaker1
read,00:08:27:55,00:08:28:06,Speaker1
"me,",00:08:28:06,00:08:28:12,Speaker1
captain?,00:08:28:13,00:08:28:44,Speaker1
Yes.,00:08:29:49,00:08:30:14,Speaker1
Scotty,00:08:30:14,00:08:30:36,Speaker1
and,00:08:30:36,00:08:30:43,Speaker1
I,00:08:30:43,00:08:30:48,Speaker1
shouldn't,00:08:30:48,00:08:31:03,Speaker1
be,00:08:31:03,00:08:31:10,Speaker1
able,00:08:31:10,00:08:31:22,Speaker1
to,00:08:31:22,00:08:31:31,Speaker1
this,00:08:31:31,00:08:31:40,Speaker1
deep,00:08:31:40,00:08:31:51,Speaker1
inside,00:08:31:51,00:08:32:07,Speaker1
the,00:08:32:07,00:08:32:15,Speaker1
planet.,00:08:32:15,00:08:32:34,Speaker1
But,00:08:32:34,00:08:32:42,Speaker1
perhaps,00:08:32:42,00:08:32:58,Speaker1
that's,00:08:32:58,00:08:33:09,Speaker1
been,00:08:33:09,00:08:33:16,Speaker1
arranged,00:08:33:16,00:08:33:32,Speaker1
for,00:08:33:32,00:08:33:43,Speaker1
"us,",00:08:33:43,00:08:33:52,Speaker1
too.,00:08:33:52,00:08:34:33,Speaker1
Is,00:08:34:35,00:08:34:48,Speaker1
the,00:08:34:48,00:08:34:53,Speaker1
security,00:08:34:53,00:08:35:16,Speaker1
guard,00:08:35:16,00:08:35:27,Speaker1
up,00:08:35:27,00:08:35:34,Speaker1
there?,00:08:35:34,00:08:36:00,Speaker1
You're,00:08:36:01,00:08:36:23,Speaker1
"fine,",00:08:36:23,00:08:36:39,Speaker1
captain.,00:08:36:39,00:08:37:15,Speaker1
They,00:08:37:15,00:08:37:28,Speaker1
just,00:08:37:28,00:08:37:39,Speaker1
didn't,00:08:37:39,00:08:38:00,Speaker1
dematerialise.,00:08:38:00,00:08:39:14,Speaker1
I,00:08:39:16,00:08:39:32,Speaker1
don't,00:08:39:32,00:08:39:45,Speaker1
like,00:08:39:45,00:08:39:55,Speaker1
"it,",00:08:39:55,00:08:40:03,Speaker1
sir.,00:08:40:03,00:08:40:22,Speaker1
"Oh,",00:08:40:30,00:08:40:44,Speaker1
no,00:08:40:44,00:08:41:04,Speaker1
problem,00:08:41:04,00:08:41:40,Speaker1
yet.,00:08:41:40,00:08:42:21,Speaker1
Maintain,00:08:42:21,00:08:43:04,Speaker1
alert.,00:08:43:04,00:08:43:26,Speaker1
Kirk,00:08:43:26,00:08:43:40,Speaker1
out.,00:08:43:42,00:08:43:57,Speaker1
Atmosphere.,00:08:45:00,00:08:45:27,Speaker5
Report.,00:08:45:27,00:08:45:48,Speaker5
Captain.,00:08:45:48,00:08:46:37,Speaker5
A,00:08:46:48,00:08:47:04,Speaker5
fraction,00:08:47:04,00:08:48:16,Speaker5
richer,00:08:48:16,00:08:48:52,Speaker5
in,00:08:48:52,00:08:49:01,Speaker5
oxygen,00:08:49:01,00:08:49:28,Speaker5
than,00:08:49:28,00:08:49:37,Speaker5
usual,00:08:49:37,00:08:49:57,Speaker5
for,00:08:49:57,00:08:50:06,Speaker5
"us,",00:08:50:06,00:08:50:13,Speaker5
but,00:08:50:13,00:08:50:22,Speaker5
otherwise,00:08:50:22,00:08:50:45,Speaker5
normal.,00:08:50:45,00:08:51:07,Speaker5
This,00:08:51:32,00:08:51:46,Speaker3
vault,00:08:51:46,00:08:52:08,Speaker3
was,00:08:52:08,00:08:52:22,Speaker3
constructed,00:08:52:22,00:08:53:00,Speaker3
about,00:08:53:00,00:08:53:16,Speaker3
a,00:08:53:16,00:08:53:20,Speaker3
half,00:08:53:20,00:08:53:33,Speaker3
million,00:08:53:33,00:08:53:52,Speaker3
years,00:08:53:52,00:08:54:05,Speaker3
ago.,00:08:54:05,00:08:54:45,Speaker3
About,00:08:55:10,00:08:55:24,Speaker3
the,00:08:55:24,00:08:55:31,Speaker3
same,00:08:55:31,00:08:55:48,Speaker3
time,00:08:55:48,00:08:56:04,Speaker3
the,00:08:56:04,00:08:56:09,Speaker3
planet's,00:08:56:09,00:08:56:29,Speaker3
surface,00:08:56:29,00:08:56:47,Speaker3
was,00:08:56:47,00:08:57:00,Speaker3
destroyed.,00:08:57:00,00:08:57:27,Speaker3
If,00:08:57:27,00:08:57:36,Speaker3
our,00:08:57:36,00:08:57:45,Speaker3
sensor,00:08:57:45,00:08:58:08,Speaker3
readings,00:08:58:08,00:08:58:26,Speaker3
are,00:08:58:26,00:08:58:33,Speaker3
accurate.,00:08:58:33,00:08:59:11,Speaker3
Composition,00:08:59:11,00:09:00:03,Speaker1
of,00:09:00:03,00:09:00:10,Speaker1
walls.,00:09:00:10,00:09:00:43,Speaker1
There,00:09:01:15,00:09:01:28,Speaker3
are,00:09:01:28,00:09:01:31,Speaker3
an,00:09:01:31,00:09:01:42,Speaker3
alloy,00:09:01:42,00:09:02:06,Speaker3
or,00:09:02:06,00:09:02:13,Speaker3
a,00:09:02:13,00:09:02:16,Speaker3
substance,00:09:02:16,00:09:02:45,Speaker3
completely,00:09:02:45,00:09:03:16,Speaker3
unknown,00:09:03:16,00:09:03:39,Speaker3
to,00:09:03:39,00:09:03:45,Speaker3
me.,00:09:03:45,00:09:03:59,Speaker3
Much,00:09:03:59,00:09:04:15,Speaker3
stronger,00:09:04:15,00:09:04:53,Speaker3
and,00:09:04:53,00:09:05:13,Speaker3
harder,00:09:05:13,00:09:05:45,Speaker3
than,00:09:05:45,00:09:06:07,Speaker3
anything,00:09:06:07,00:09:06:36,Speaker3
I've,00:09:06:36,00:09:06:45,Speaker3
measured,00:09:06:45,00:09:07:01,Speaker3
before.,00:09:07:01,00:09:07:46,Speaker3
All,00:09:08:18,00:09:08:34,Speaker5
readings,00:09:08:34,00:09:08:58,Speaker5
are,00:09:08:58,00:09:09:09,Speaker5
off,00:09:09:09,00:09:09:19,Speaker5
the,00:09:09:19,00:09:09:27,Speaker5
"scale,",00:09:09:27,00:09:09:48,Speaker5
captain.,00:09:09:48,00:09:10:24,Speaker5
The,00:09:11:27,00:09:11:38,Speaker3
air,00:09:11:38,00:09:11:49,Speaker3
seems,00:09:11:51,00:09:12:09,Speaker3
fresh.,00:09:12:09,00:09:12:30,Speaker3
It,00:09:12:30,00:09:12:36,Speaker3
must,00:09:12:36,00:09:12:50,Speaker3
be,00:09:12:50,00:09:13:01,Speaker3
recirculated,00:09:13:01,00:09:13:49,Speaker3
somehow.,00:09:13:49,00:09:14:31,Speaker3
Is,00:09:14:51,00:09:15:05,Speaker1
that,00:09:15:05,00:09:15:14,Speaker1
for,00:09:15:14,00:09:15:27,Speaker1
"us,",00:09:15:27,00:09:15:48,Speaker1
or,00:09:15:48,00:09:15:59,Speaker1
does,00:09:15:59,00:09:16:24,Speaker1
it,00:09:16:24,00:09:16:49,Speaker1
need,00:09:16:49,00:09:17:22,Speaker1
fresh,00:09:17:22,00:09:17:47,Speaker1
air?,00:09:17:47,00:09:18:23,Speaker1
Welcome.,00:09:34:23,00:09:35:24,""
I,00:09:37:37,00:09:37:57,""
am,00:09:37:57,00:09:38:08,""
saga.,00:09:38:08,00:09:38:39,""
Would,00:09:46:01,00:09:46:12,Speaker3
it,00:09:46:12,00:09:46:21,Speaker3
harm,00:09:46:21,00:09:46:36,Speaker3
you,00:09:46:36,00:09:46:57,Speaker3
if,00:09:46:57,00:09:47:15,Speaker3
I.,00:09:47:15,00:09:47:35,Speaker3
You,00:09:47:49,00:09:48:07,Speaker3
may,00:09:48:07,00:09:48:18,Speaker3
use,00:09:48:18,00:09:48:34,Speaker3
your,00:09:48:34,00:09:48:45,Speaker3
"tricorder,",00:09:48:45,00:09:49:19,Speaker3
Mr.,00:09:49:19,00:09:49:39,Speaker3
Spock.,00:09:49:39,00:09:50:22,Speaker3
Your,00:09:50:42,00:09:51:06,Speaker3
readings,00:09:51:06,00:09:51:29,Speaker3
will,00:09:51:29,00:09:51:40,Speaker3
show,00:09:51:40,00:09:52:03,Speaker3
"energy,",00:09:52:03,00:09:52:57,Speaker3
but,00:09:52:57,00:09:53:12,Speaker3
no,00:09:53:12,00:09:53:30,Speaker3
substance.,00:09:53:30,00:09:54:29,Speaker3
Sealed,00:09:55:03,00:09:55:25,Speaker3
in,00:09:55:25,00:09:55:32,Speaker3
this,00:09:55:32,00:09:55:46,Speaker3
receptacle,00:09:55:46,00:09:56:51,Speaker3
is,00:09:56:51,00:09:57:13,Speaker3
the,00:09:57:13,00:09:57:22,Speaker3
essence,00:09:57:22,00:09:57:45,Speaker3
of,00:09:57:45,00:09:57:54,Speaker3
my,00:09:57:54,00:09:58:09,Speaker3
mind.,00:09:58:09,00:09:58:52,Speaker3
Pure,00:10:01:06,00:10:01:31,Speaker3
energy.,00:10:01:31,00:10:02:20,Speaker3
Matter,00:10:02:22,00:10:03:03,Speaker3
without,00:10:03:03,00:10:03:28,Speaker3
form.,00:10:03:28,00:10:04:15,Speaker3
Impossible.,00:10:04:21,00:10:05:13,Speaker1
But,00:10:05:57,00:10:06:24,Speaker3
you,00:10:06:24,00:10:06:34,Speaker3
once,00:10:06:34,00:10:06:54,Speaker3
had,00:10:06:54,00:10:07:07,Speaker3
a,00:10:07:07,00:10:07:12,Speaker3
body,00:10:07:12,00:10:07:30,Speaker3
of,00:10:07:30,00:10:07:37,Speaker3
some,00:10:07:37,00:10:07:52,Speaker3
type,00:10:07:52,00:10:08:10,Speaker3
A,00:10:08:37,00:10:08:46,Speaker3
body,00:10:08:46,00:10:09:06,Speaker3
much,00:10:09:06,00:10:09:24,Speaker3
as,00:10:09:24,00:10:09:33,Speaker3
"yours,",00:10:09:33,00:10:09:51,Speaker3
my,00:10:09:51,00:10:10:03,Speaker3
"children,",00:10:10:03,00:10:10:46,Speaker3
although,00:10:10:46,00:10:11:26,Speaker3
our,00:10:11:26,00:10:11:37,Speaker3
minds,00:10:11:37,00:10:12:07,Speaker3
were,00:10:12:07,00:10:12:24,Speaker3
infinitely,00:10:12:24,00:10:12:58,Speaker3
greater.,00:10:12:58,00:10:13:45,Speaker3
That's,00:10:13:46,00:10:14:19,Speaker1
twice,00:10:14:19,00:10:14:57,Speaker1
you've,00:10:14:57,00:10:15:16,Speaker1
referred,00:10:15:16,00:10:15:42,Speaker1
to,00:10:15:42,00:10:15:51,Speaker1
us,00:10:15:51,00:10:16:05,Speaker1
as,00:10:16:05,00:10:16:25,Speaker1
my,00:10:16:25,00:10:16:48,Speaker1
children.,00:10:16:48,00:10:17:37,Speaker1
Because,00:10:17:37,00:10:18:13,Speaker3
it,00:10:18:13,00:10:18:22,Speaker3
is,00:10:18:22,00:10:18:36,Speaker3
possible,00:10:18:36,00:10:19:07,Speaker3
you,00:10:19:07,00:10:19:18,Speaker3
are,00:10:19:18,00:10:19:34,Speaker3
our,00:10:19:34,00:10:19:43,Speaker3
"descendants,",00:10:19:43,00:10:20:17,Speaker3
Captain,00:10:20:17,00:10:20:39,Speaker3
Kirk.,00:10:20:39,00:10:21:13,Speaker3
6000,00:10:21:13,00:10:22:16,Speaker3
centuries,00:10:22:16,00:10:22:43,Speaker3
ago.,00:10:22:43,00:10:23:04,Speaker3
Our,00:10:23:06,00:10:23:22,Speaker3
vessels,00:10:23:22,00:10:23:49,Speaker3
were,00:10:23:49,00:10:24:00,Speaker3
colonizing,00:10:24:00,00:10:24:40,Speaker3
this,00:10:24:40,00:10:24:52,Speaker3
galaxy.,00:10:24:52,00:10:25:41,Speaker3
Just,00:10:25:41,00:10:26:13,Speaker3
as,00:10:26:13,00:10:26:22,Speaker3
your,00:10:26:22,00:10:26:39,Speaker3
own,00:10:26:39,00:10:26:55,Speaker3
starships,00:10:26:55,00:10:27:31,Speaker3
have,00:10:27:31,00:10:27:42,Speaker3
now,00:10:27:42,00:10:27:54,Speaker3
begun,00:10:27:54,00:10:28:14,Speaker3
to,00:10:28:14,00:10:28:27,Speaker3
explore,00:10:28:27,00:10:28:57,Speaker3
that,00:10:28:57,00:10:29:13,Speaker3
vastness,00:10:29:13,00:10:30:09,Speaker3
as,00:10:30:31,00:10:30:56,Speaker3
you,00:10:30:56,00:10:31:05,Speaker3
now,00:10:31:05,00:10:31:23,Speaker3
leave,00:10:31:23,00:10:31:37,Speaker3
your,00:10:31:37,00:10:31:48,Speaker3
own,00:10:31:48,00:10:32:04,Speaker3
seed,00:10:32:04,00:10:32:21,Speaker3
on,00:10:32:21,00:10:32:33,Speaker3
distant,00:10:32:33,00:10:32:55,Speaker3
planets.,00:10:32:55,00:10:33:45,Speaker3
So,00:10:33:45,00:10:34:19,Speaker3
we,00:10:34:19,00:10:34:30,Speaker3
left,00:10:34:30,00:10:34:46,Speaker3
our,00:10:34:46,00:10:35:03,Speaker3
seed,00:10:35:03,00:10:35:19,Speaker3
behind,00:10:35:19,00:10:35:46,Speaker3
us.,00:10:35:46,00:10:36:24,Speaker3
Perhaps,00:10:36:24,00:10:37:00,Speaker3
your,00:10:37:00,00:10:37:12,Speaker3
own,00:10:37:12,00:10:37:27,Speaker3
legends,00:10:37:27,00:10:37:54,Speaker3
of,00:10:37:54,00:10:38:01,Speaker3
an,00:10:38:01,00:10:38:10,Speaker3
Adam,00:10:38:10,00:10:38:26,Speaker3
and,00:10:38:26,00:10:38:40,Speaker3
an,00:10:38:40,00:10:38:51,Speaker3
Eve,00:10:38:51,00:10:39:06,Speaker3
were,00:10:39:06,00:10:39:18,Speaker3
two,00:10:39:18,00:10:39:36,Speaker3
of,00:10:39:36,00:10:39:47,Speaker3
our,00:10:39:47,00:10:40:00,Speaker3
travelers.,00:10:40:00,00:10:40:52,Speaker3
Our,00:10:42:16,00:10:42:31,Speaker5
beliefs,00:10:42:31,00:10:42:56,Speaker5
in,00:10:42:56,00:10:43:03,Speaker5
